cohort,cohort_start,cohort_end,horizon_days,installs,denominator,retained,rate_pct_value,rate_pct_display,wilson_lo_pct_value,wilson_lo_pct_display,wilson_hi_pct_value,wilson_hi_pct_display,wilson_half_width_pp_display,status,note
W01,20180612,20180618,1,176,176,56,31.8181818182,31.82,25.3881764107,25.39,39.0249236499,39.02,6.82,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W01,20180612,20180618,7,176,176,5,2.8409090909,2.84,1.2194421568,1.22,6.4770361255,6.48,2.63,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W01,20180612,20180618,30,176,176,0,0.0000000000,0.00,0.0000000000,0.00,2.1360251668,2.14,1.07,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W02,20180619,20180625,1,181,181,51,28.1767955801,28.18,22.1292477214,22.13,35.1314228532,35.13,6.50,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W02,20180619,20180625,7,181,181,11,6.0773480663,6.08,3.4270408737,3.43,10.5532961056,10.55,3.56,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W02,20180619,20180625,30,181,181,6,3.3149171271,3.31,1.5279413793,1.53,7.0423539006,7.04,2.76,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W03,20180626,20180702,1,95,95,31,32.6315789474,32.63,24.0387127340,24.04,42.5744874416,42.57,9.27,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W03,20180626,20180702,7,95,95,7,7.3684210526,7.37,3.6148969609,3.61,14.4356852882,14.44,5.41,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W03,20180626,20180702,30,95,95,3,3.1578947368,3.16,1.0797139474,1.08,8.8770986473,8.88,3.90,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W04,20180703,20180709,1,212,212,59,27.8301886792,27.83,22.2329181667,22.23,34.2165978282,34.22,5.99,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W04,20180703,20180709,7,212,212,16,7.5471698113,7.55,4.6986653231,4.70,11.9067908374,11.91,3.60,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W04,20180703,20180709,30,212,212,6,2.8301886792,2.83,1.3034196419,1.30,6.0359760920,6.04,2.37,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W05,20180710,20180716,1,271,271,61,22.5092250923,22.51,17.9409771938,17.94,27.8459500626,27.85,4.95,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W05,20180710,20180716,7,271,271,21,7.7490774908,7.75,5.1239802400,5.12,11.5552569528,11.56,3.22,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W05,20180710,20180716,30,271,271,6,2.2140221402,2.21,1.0185638114,1.02,4.7452896074,4.75,1.86,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W06,20180717,20180723,1,245,245,68,27.7551020408,27.76,22.5242424655,22.52,33.6727672625,33.67,5.57,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W06,20180717,20180723,7,245,245,21,8.5714285714,8.57,5.6744697659,5.67,12.7474841312,12.75,3.54,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W06,20180717,20180723,30,245,245,7,2.8571428571,2.86,1.3907542780,1.39,5.7790553290,5.78,2.19,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W07,20180724,20180730,1,267,267,75,28.0898876404,28.09,23.0390873086,23.04,33.7622087302,33.76,5.36,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W07,20180724,20180730,7,267,267,19,7.1161048689,7.12,4.6026798601,4.60,10.8460106775,10.85,3.12,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W07,20180724,20180730,30,267,267,5,1.8726591760,1.87,0.8024748380,0.80,4.3080643243,4.31,1.75,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W08,20180731,20180806,1,415,415,90,21.6867469880,21.69,17.9911558188,17.99,25.9016955093,25.90,3.96,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W08,20180731,20180806,7,415,415,24,5.7831325301,5.78,3.9167144935,3.92,8.4606320487,8.46,2.27,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W08,20180731,20180806,30,415,415,9,2.1686746988,2.17,1.1450586278,1.15,4.0696731904,4.07,1.46,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W09,20180807,20180813,1,305,305,78,25.5737704918,25.57,21.0024666491,21.00,30.7527152592,30.75,4.88,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W09,20180807,20180813,7,305,305,18,5.9016393443,5.90,3.7653248428,3.77,9.1349700117,9.13,2.68,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W09,20180807,20180813,30,305,305,3,0.9836065574,0.98,0.3350679740,0.34,2.8515051171,2.85,1.26,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W10,20180814,20180820,1,241,241,53,21.9917012448,21.99,17.2244970101,17.22,27.6377821765,27.64,5.21,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W10,20180814,20180820,7,241,241,23,9.5435684647,9.54,6.4436972066,6.44,13.9129282851,13.91,3.73,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W10,20180814,20180820,30,241,241,6,2.4896265560,2.49,1.1459012292,1.15,5.3241871688,5.32,2.09,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W11,20180821,20180827,1,250,250,51,20.4000000000,20.40,15.8705254124,15.87,25.8253659177,25.83,4.98,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W11,20180821,20180827,7,250,250,11,4.4000000000,4.40,2.4743798167,2.47,7.7057770972,7.71,2.62,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W11,20180821,20180827,30,250,250,3,1.2000000000,1.20,0.4089319881,0.41,3.4680780427,3.47,1.53,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W12,20180828,20180903,1,305,305,49,16.0655737705,16.07,12.3705463640,12.37,20.6047734683,20.60,4.12,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W12,20180828,20180903,7,305,305,7,2.2950819672,2.30,1.1160904476,1.12,4.6608084470,4.66,1.77,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W12,20180828,20180903,30,305,305,8,2.6229508197,2.62,1.3349576320,1.33,5.0895227135,5.09,1.88,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W13,20180904,20180910,1,384,384,51,13.2812500000,13.28,10.2479018285,10.25,17.0419756237,17.04,3.40,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W13,20180904,20180910,7,384,384,16,4.1666666667,4.17,2.5807570989,2.58,6.6605083732,6.66,2.04,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W13,20180904,20180910,30,384,,,,NULL,,NULL,,NULL,NULL,ineligible_window,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W14,20180911,20180917,1,300,300,40,13.3333333333,13.33,9.9466416834,9.95,17.6471762064,17.65,3.85,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W14,20180911,20180917,7,300,300,16,5.3333333333,5.33,3.3091912519,3.31,8.4869141775,8.49,2.59,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W14,20180911,20180917,30,300,,,,NULL,,NULL,,NULL,NULL,ineligible_window,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W15,20180918,20180924,1,266,266,49,18.4210526316,18.42,14.2235127224,14.22,23.5177073502,23.52,4.65,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W15,20180918,20180924,7,266,266,7,2.6315789474,2.63,1.2804635637,1.28,5.3313665452,5.33,2.03,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W15,20180918,20180924,30,266,,,,NULL,,NULL,,NULL,NULL,ineligible_window,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W16,20180925,20181001,1,278,278,49,17.6258992806,17.63,13.5967918148,13.60,22.5375154822,22.54,4.47,reported,"classic retention, §10.5.3 primary — event on install day + N exactly"
W16,20180925,20181001,7,278,,,,NULL,,NULL,,NULL,NULL,ineligible_window,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W16,20180925,20181001,30,278,,,,NULL,,NULL,,NULL,NULL,ineligible_window,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
