cohort,cohort_start,cohort_end,horizon_days,installs,denominator,retained,rate_pct_value,rate_pct_display,wilson_lo_pct_value,wilson_lo_pct_display,wilson_hi_pct_value,wilson_hi_pct_display,wilson_half_width_pp_display,status,window_days_remaining_min,window_days_remaining_max,note
W01,20180612,20180618,1,176,176,102,57.9545454545,57.95,50.5681301223,50.57,65.0011386012,65.00,7.22,reported,107,113,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W01,20180612,20180618,7,176,176,54,30.6818181818,30.68,24.3417248698,24.34,37.8471939446,37.85,6.75,reported,101,107,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W01,20180612,20180618,30,176,176,27,15.3409090909,15.34,10.7624339109,10.76,21.4000380797,21.40,5.32,reported,78,84,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W02,20180619,20180625,1,181,181,96,53.0386740331,53.04,45.7805091422,45.78,60.1705367272,60.17,7.20,reported,100,106,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W02,20180619,20180625,7,181,181,57,31.4917127072,31.49,25.1692807257,25.17,38.5834398882,38.58,6.71,reported,94,100,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W02,20180619,20180625,30,181,181,42,23.2044198895,23.20,17.6502930579,17.65,29.8723024579,29.87,6.11,reported,71,77,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W03,20180626,20180702,1,95,95,56,58.9473684211,58.95,48.8954190988,48.90,68.3038414168,68.30,9.70,reported,93,99,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W03,20180626,20180702,7,95,95,39,41.0526315789,41.05,31.6961585832,31.70,51.1045809012,51.10,9.70,reported,87,93,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W03,20180626,20180702,30,95,95,19,20.0000000000,20.00,13.1945470576,13.19,29.1373441547,29.14,7.97,reported,64,70,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W04,20180703,20180709,1,212,212,126,59.4339622642,59.43,52.7133359264,52.71,65.8187849269,65.82,6.55,reported,86,92,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W04,20180703,20180709,7,212,212,89,41.9811320755,41.98,35.5382636440,35.54,48.7094336308,48.71,6.59,reported,80,86,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W04,20180703,20180709,30,212,212,51,24.0566037736,24.06,18.7974653727,18.80,30.2392022810,30.24,5.72,reported,57,63,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W05,20180710,20180716,1,271,271,149,54.9815498155,54.98,49.0297041784,49.03,60.7941412181,60.79,5.88,reported,79,85,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W05,20180710,20180716,7,271,271,104,38.3763837638,38.38,32.7872836584,32.79,44.2904104165,44.29,5.75,reported,73,79,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W05,20180710,20180716,30,271,271,55,20.2952029520,20.30,15.9373457780,15.94,25.4834279689,25.48,4.77,reported,50,56,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W06,20180717,20180723,1,245,245,132,53.8775510204,53.88,47.6237502129,47.62,60.0116334125,60.01,6.19,reported,72,78,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W06,20180717,20180723,7,245,245,90,36.7346938776,36.73,30.9462389627,30.95,42.9327117925,42.93,5.99,reported,66,72,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W06,20180717,20180723,30,245,245,51,20.8163265306,20.82,16.2024015333,16.20,26.3312901282,26.33,5.06,reported,43,49,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W07,20180724,20180730,1,267,267,147,55.0561797753,55.06,49.0598476759,49.06,60.9090840075,60.91,5.92,reported,65,71,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W07,20180724,20180730,7,267,267,100,37.4531835206,37.45,31.8642145003,31.86,43.3980661373,43.40,5.77,reported,59,65,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W07,20180724,20180730,30,267,267,48,17.9775280899,17.98,13.8359995617,13.84,23.0274331104,23.03,4.60,reported,36,42,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W08,20180731,20180806,1,415,415,214,51.5662650602,51.57,46.7657969291,46.77,56.3380027847,56.34,4.79,reported,58,64,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W08,20180731,20180806,7,415,415,128,30.8433734940,30.84,26.5925403919,26.59,35.4456015706,35.45,4.43,reported,52,58,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W08,20180731,20180806,30,415,415,53,12.7710843373,12.77,9.8979026961,9.90,16.3271656460,16.33,3.21,reported,29,35,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W09,20180807,20180813,1,305,305,160,52.4590163934,52.46,46.8587408086,46.86,57.9981200731,58.00,5.57,reported,51,57,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W09,20180807,20180813,7,305,305,100,32.7868852459,32.79,27.7611203698,27.76,38.2408534582,38.24,5.24,reported,45,51,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W09,20180807,20180813,30,305,305,43,14.0983606557,14.10,10.6381168099,10.64,18.4517143169,18.45,3.91,reported,22,28,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W10,20180814,20180820,1,241,241,136,56.4315352697,56.43,50.1189341878,50.12,62.5423202212,62.54,6.21,reported,44,50,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W10,20180814,20180820,7,241,241,83,34.4398340249,34.44,28.7270543881,28.73,40.6408784933,40.64,5.96,reported,38,44,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W10,20180814,20180820,30,241,241,27,11.2033195021,11.20,7.8146755479,7.81,15.8093704365,15.81,4.00,reported,15,21,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W11,20180821,20180827,1,250,250,115,46.0000000000,46.00,39.9290749526,39.93,52.1919914434,52.19,6.13,reported,37,43,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W11,20180821,20180827,7,250,250,61,24.4000000000,24.40,19.4897169303,19.49,30.0851080039,30.09,5.30,reported,31,37,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W11,20180821,20180827,30,250,250,15,6.0000000000,6.00,3.6694410839,3.67,9.6622892717,9.66,3.00,reported,8,14,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W12,20180828,20180903,1,305,305,114,37.3770491803,37.38,32.1360512289,32.14,42.9320629116,42.93,5.40,reported,30,36,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W12,20180828,20180903,7,305,305,69,22.6229508197,22.62,18.2848909544,18.28,27.6420578957,27.64,4.68,reported,24,30,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W12,20180828,20180903,30,305,305,18,5.9016393443,5.90,3.7653248428,3.77,9.1349700117,9.13,2.68,reported,1,7,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W13,20180904,20180910,1,384,384,141,36.7187500000,36.72,32.0511322873,32.05,41.6494616848,41.65,4.80,reported,23,29,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W13,20180904,20180910,7,384,384,81,21.0937500000,21.09,17.3097187116,17.31,25.4503975805,25.45,4.07,reported,17,23,"rolling retention, §10.5.3 secondary — event on or after install day + N"
