dimension,segment,is_other,segments_pooled,users_in_segment,horizon_days,denominator,retained,rate_pct_value,rate_pct_display,wilson_lo_pct_value,wilson_lo_pct_display,wilson_hi_pct_value,wilson_hi_pct_display,wilson_half_width_pp_display,status,caveat,note
app_info.version,2.62,false,,2775,1,2775,642,23.1351351351,23.14,21.6039411817,21.60,24.7406048424,24.74,1.57,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.62,false,,2775,7,2614,154,5.8913542464,5.89,5.0517767393,5.05,6.8603830965,6.86,0.90,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.62,false,,2775,30,2146,44,2.0503261883,2.05,1.5308663980,1.53,2.7411443795,2.74,0.61,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.6.31,false,,985,1,985,171,17.3604060914,17.36,15.1230041466,15.12,19.8514051215,19.85,2.36,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.6.31,false,,985,7,880,52,5.9090909091,5.91,4.5344413183,4.53,7.6670070008,7.67,1.57,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.6.31,false,,985,30,434,11,2.5345622120,2.53,1.4210407230,1.42,4.4809720490,4.48,1.53,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.6.30,false,,315,1,315,91,28.8888888889,28.89,24.1617214662,24.16,34.1247571832,34.12,4.98,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.6.30,false,,315,7,314,12,3.8216560510,3.82,2.1994364223,2.20,6.5601064404,6.56,2.18,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,2.6.30,false,,315,30,306,6,1.9607843137,1.96,0.9016676594,0.90,4.2110951326,4.21,1.65,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,Other,true,22,116,1,116,7,6.0344827586,6.03,2.9535553391,2.95,11.9339960945,11.93,4.49,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,Other,true,22,116,7,105,4,3.8095238095,3.81,1.4912459331,1.49,9.3883021261,9.39,3.95,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
app_info.version,Other,true,22,116,30,77,1,1.2987012987,1.30,0.2296217297,0.23,6.9961989147,7.00,3.38,reported,"attributed from the earliest event row, so this is the version at install; §10.7.5 states no constancy test for this dimension (A-136)","classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.category,mobile,false,,3238,1,3238,731,22.5756639901,22.58,21.1686268592,21.17,24.0476947111,24.05,1.44,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.category,mobile,false,,3238,7,3016,165,5.4708222812,5.47,4.7144081562,4.71,6.3405251365,6.34,0.81,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.category,mobile,false,,3238,30,2239,47,2.0991514069,2.10,1.5822627167,1.58,2.7801258255,2.78,0.60,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.category,tablet,false,,953,1,953,180,18.8877229801,18.89,16.5294325122,16.53,21.4958281479,21.50,2.48,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.category,tablet,false,,953,7,897,57,6.3545150502,6.35,4.9368232702,4.94,8.1444417701,8.14,1.60,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.category,tablet,false,,953,30,724,15,2.0718232044,2.07,1.2595046881,1.26,3.3900599129,3.39,1.07,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-us,false,,2045,1,2045,476,23.2762836186,23.28,21.4958529134,21.50,25.1569251581,25.16,1.83,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-us,false,,2045,7,1902,121,6.3617245005,6.36,5.3503896878,5.35,7.5489759800,7.55,1.10,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-us,false,,2045,30,1497,35,2.3380093520,2.34,1.6858488090,1.69,3.2341551252,3.23,0.77,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-gb,false,,576,1,576,113,19.6180555556,19.62,16.5808569123,16.58,23.0578159222,23.06,3.24,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-gb,false,,576,7,546,26,4.7619047619,4.76,3.2700981232,3.27,6.8858219015,6.89,1.81,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-gb,false,,576,30,446,10,2.2421524664,2.24,1.2223637416,1.22,4.0776054705,4.08,1.43,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,ja-jp,false,,192,1,192,52,27.0833333333,27.08,21.2927693175,21.29,33.7729248772,33.77,6.24,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,ja-jp,false,,192,7,178,16,8.9887640449,8.99,5.6086378433,5.61,14.1016411289,14.10,4.25,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,ja-jp,false,,192,30,112,3,2.6785714286,2.68,0.9150819946,0.92,7.5805454957,7.58,3.33,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-in,false,,171,1,171,39,22.8070175439,22.81,17.1564381449,17.16,29.6525163060,29.65,6.25,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-in,false,,171,7,164,10,6.0975609756,6.10,3.3454561325,3.35,10.8592933902,10.86,3.76,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-in,false,,171,30,117,2,1.7094017094,1.71,0.4700382605,0.47,6.0190085429,6.02,2.77,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-au,false,,143,1,143,35,24.4755244755,24.48,18.1572919341,18.16,32.1292275637,32.13,6.99,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-au,false,,143,7,134,8,5.9701492537,5.97,3.0559034029,3.06,11.3385023082,11.34,4.14,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-au,false,,143,30,81,1,1.2345679012,1.23,0.2182650059,0.22,6.6668815980,6.67,3.22,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-ca,false,,124,1,124,25,20.1612903226,20.16,14.0456480429,14.05,28.0701564209,28.07,7.01,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-ca,false,,124,7,117,11,9.4017094017,9.40,5.3310461940,5.33,16.0535506761,16.05,5.36,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,en-ca,false,,124,30,87,0,0.0000000000,0.00,0.0000000000,0.00,4.2287506944,4.23,2.11,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,Other,true,124,940,1,940,171,18.1914893617,18.19,15.8564329784,15.86,20.7854686448,20.79,2.46,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
device.language,Other,true,124,940,7,872,30,3.4403669725,3.44,2.4203477309,2.42,4.8688092481,4.87,1.22,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
