cohort,cohort_start,cohort_end,install_count,eligible_d1,eligible_d7,eligible_d30,note
TAIL_EXCLUDED,20181002,20181003,128,false,false,false,"the 2-day remainder, excluded from every cohort table per §10.5.4; reported as an excluded figure, never folded into W16"
W01,20180612,20180618,176,true,true,true,"weekly cohort, §10.5.4"
W02,20180619,20180625,181,true,true,true,"weekly cohort, §10.5.4"
W03,20180626,20180702,95,true,true,true,"weekly cohort, §10.5.4"
W04,20180703,20180709,212,true,true,true,"weekly cohort, §10.5.4"
W05,20180710,20180716,271,true,true,true,"weekly cohort, §10.5.4"
W06,20180717,20180723,245,true,true,true,"weekly cohort, §10.5.4"
W07,20180724,20180730,267,true,true,true,"weekly cohort, §10.5.4"
W08,20180731,20180806,415,true,true,true,"weekly cohort, §10.5.4"
W09,20180807,20180813,305,true,true,true,"weekly cohort, §10.5.4"
W10,20180814,20180820,241,true,true,true,"weekly cohort, §10.5.4"
W11,20180821,20180827,250,true,true,true,"weekly cohort, §10.5.4"
W12,20180828,20180903,305,true,true,true,"weekly cohort, §10.5.4"
W13,20180904,20180910,384,true,true,false,"weekly cohort, §10.5.4"
W14,20180911,20180917,300,true,true,false,"weekly cohort, §10.5.4"
W15,20180918,20180924,266,true,true,false,"weekly cohort, §10.5.4"
W16,20180925,20181001,278,true,false,false,"weekly cohort, §10.5.4"
W16_INSTALLS_20180925_20180926,20180925,20180926,85,true,false,false,installs individually observable at D7 (install day <= 20180926) whose cohort W16 is not; excluded from pooled D7 under the per-cohort reading directed in A-134
