grain,cohort,cohort_start,cohort_end,horizon_days,installs,eligible,denominator,retained,cohorts_included
weekly,W01,20180612,20180618,1,176,true,176,56,
weekly,W01,20180612,20180618,7,176,true,176,5,
weekly,W01,20180612,20180618,30,176,true,176,0,
weekly,W02,20180619,20180625,1,181,true,181,51,
weekly,W02,20180619,20180625,7,181,true,181,11,
weekly,W02,20180619,20180625,30,181,true,181,6,
weekly,W03,20180626,20180702,1,95,true,95,31,
weekly,W03,20180626,20180702,7,95,true,95,7,
weekly,W03,20180626,20180702,30,95,true,95,3,
weekly,W04,20180703,20180709,1,212,true,212,59,
weekly,W04,20180703,20180709,7,212,true,212,16,
weekly,W04,20180703,20180709,30,212,true,212,6,
weekly,W05,20180710,20180716,1,271,true,271,61,
weekly,W05,20180710,20180716,7,271,true,271,21,
weekly,W05,20180710,20180716,30,271,true,271,6,
weekly,W06,20180717,20180723,1,245,true,245,68,
weekly,W06,20180717,20180723,7,245,true,245,21,
weekly,W06,20180717,20180723,30,245,true,245,7,
weekly,W07,20180724,20180730,1,267,true,267,75,
weekly,W07,20180724,20180730,7,267,true,267,19,
weekly,W07,20180724,20180730,30,267,true,267,5,
weekly,W08,20180731,20180806,1,415,true,415,90,
weekly,W08,20180731,20180806,7,415,true,415,24,
weekly,W08,20180731,20180806,30,415,true,415,9,
weekly,W09,20180807,20180813,1,305,true,305,78,
weekly,W09,20180807,20180813,7,305,true,305,18,
weekly,W09,20180807,20180813,30,305,true,305,3,
weekly,W10,20180814,20180820,1,241,true,241,53,
weekly,W10,20180814,20180820,7,241,true,241,23,
weekly,W10,20180814,20180820,30,241,true,241,6,
weekly,W11,20180821,20180827,1,250,true,250,51,
weekly,W11,20180821,20180827,7,250,true,250,11,
weekly,W11,20180821,20180827,30,250,true,250,3,
weekly,W12,20180828,20180903,1,305,true,305,49,
weekly,W12,20180828,20180903,7,305,true,305,7,
weekly,W12,20180828,20180903,30,305,true,305,8,
weekly,W13,20180904,20180910,1,384,true,384,51,
weekly,W13,20180904,20180910,7,384,true,384,16,
weekly,W13,20180904,20180910,30,384,false,,,
weekly,W14,20180911,20180917,1,300,true,300,40,
weekly,W14,20180911,20180917,7,300,true,300,16,
weekly,W14,20180911,20180917,30,300,false,,,
weekly,W15,20180918,20180924,1,266,true,266,49,
weekly,W15,20180918,20180924,7,266,true,266,7,
weekly,W15,20180918,20180924,30,266,false,,,
weekly,W16,20180925,20181001,1,278,true,278,49,
weekly,W16,20180925,20181001,7,278,false,,,
weekly,W16,20180925,20181001,30,278,false,,,
pooled,POOLED,20180612,20181001,1,4191,true,4191,911,16
pooled,POOLED,20180612,20180924,7,3913,true,3913,222,15
pooled,POOLED,20180612,20180903,30,2963,true,2963,62,12
