grain,cohort,cohort_start,cohort_end,horizon_days,installs,eligible,denominator,retained,cohorts_included
weekly,W01,20180612,20180618,1,176,true,176,102,
weekly,W01,20180612,20180618,7,176,true,176,54,
weekly,W01,20180612,20180618,30,176,true,176,27,
weekly,W02,20180619,20180625,1,181,true,181,96,
weekly,W02,20180619,20180625,7,181,true,181,57,
weekly,W02,20180619,20180625,30,181,true,181,42,
weekly,W03,20180626,20180702,1,95,true,95,56,
weekly,W03,20180626,20180702,7,95,true,95,39,
weekly,W03,20180626,20180702,30,95,true,95,19,
weekly,W04,20180703,20180709,1,212,true,212,126,
weekly,W04,20180703,20180709,7,212,true,212,89,
weekly,W04,20180703,20180709,30,212,true,212,51,
weekly,W05,20180710,20180716,1,271,true,271,149,
weekly,W05,20180710,20180716,7,271,true,271,104,
weekly,W05,20180710,20180716,30,271,true,271,55,
weekly,W06,20180717,20180723,1,245,true,245,132,
weekly,W06,20180717,20180723,7,245,true,245,90,
weekly,W06,20180717,20180723,30,245,true,245,51,
weekly,W07,20180724,20180730,1,267,true,267,147,
weekly,W07,20180724,20180730,7,267,true,267,100,
weekly,W07,20180724,20180730,30,267,true,267,48,
weekly,W08,20180731,20180806,1,415,true,415,214,
weekly,W08,20180731,20180806,7,415,true,415,128,
weekly,W08,20180731,20180806,30,415,true,415,53,
weekly,W09,20180807,20180813,1,305,true,305,160,
weekly,W09,20180807,20180813,7,305,true,305,100,
weekly,W09,20180807,20180813,30,305,true,305,43,
weekly,W10,20180814,20180820,1,241,true,241,136,
weekly,W10,20180814,20180820,7,241,true,241,83,
weekly,W10,20180814,20180820,30,241,true,241,27,
weekly,W11,20180821,20180827,1,250,true,250,115,
weekly,W11,20180821,20180827,7,250,true,250,61,
weekly,W11,20180821,20180827,30,250,true,250,15,
weekly,W12,20180828,20180903,1,305,true,305,114,
weekly,W12,20180828,20180903,7,305,true,305,69,
weekly,W12,20180828,20180903,30,305,true,305,18,
weekly,W13,20180904,20180910,1,384,true,384,141,
weekly,W13,20180904,20180910,7,384,true,384,81,
weekly,W13,20180904,20180910,30,384,false,,,
weekly,W14,20180911,20180917,1,300,true,300,102,
weekly,W14,20180911,20180917,7,300,true,300,56,
weekly,W14,20180911,20180917,30,300,false,,,
weekly,W15,20180918,20180924,1,266,true,266,97,
weekly,W15,20180918,20180924,7,266,true,266,25,
weekly,W15,20180918,20180924,30,266,false,,,
weekly,W16,20180925,20181001,1,278,true,278,83,
weekly,W16,20180925,20181001,7,278,false,,,
weekly,W16,20180925,20181001,30,278,false,,,
pooled,POOLED,20180612,20181001,1,4191,true,4191,1970,16
pooled,POOLED,20180612,20180924,7,3913,true,3913,1136,15
pooled,POOLED,20180612,20180903,30,2963,true,2963,449,12
