offset_hours,users_total,users_with_property,users_inside_window,users_before_window,users_after_window,denominator,retained
-12,15175,15175,5945,9111,119,5614,356
-11,15175,15175,5944,9109,122,5615,353
-10,15175,15175,5941,9109,125,5611,348
-9,15175,15175,5941,9108,126,5611,345
-8,15175,15175,5939,9108,128,5611,344
-7,15175,15175,5938,9106,131,5611,344
-6,15175,15175,5936,9105,134,5610,341
-5,15175,15175,5938,9103,134,5610,339
-4,15175,15175,5940,9099,136,5613,345
-3,15175,15175,5943,9096,136,5615,342
-2,15175,15175,5943,9093,139,5612,343
-1,15175,15175,5942,9091,142,5612,340
0,15175,15175,5942,9085,148,5616,339
1,15175,15175,5945,9082,148,5618,342
2,15175,15175,5945,9081,149,5617,338
3,15175,15175,5944,9081,150,5615,328
4,15175,15175,5945,9079,151,5617,324
5,15175,15175,5943,9078,154,5613,318
6,15175,15175,5944,9077,154,5612,314
7,15175,15175,5944,9075,156,5614,311
8,15175,15175,5946,9073,156,5612,311
9,15175,15175,5945,9073,157,5610,310
10,15175,15175,5942,9073,160,5607,307
11,15175,15175,5942,9072,161,5606,308
12,15175,15175,5941,9071,163,5605,313
13,15175,15175,5942,9069,164,5602,313
14,15175,15175,5943,9068,164,5600,313
