s1_level_start_quickplay,s2_level_end_quickplay,s3_level_complete_quickplay,level_fail_quickplay,level_start_nonquickplay,users,share_of_population_pct_display
yes,yes,yes,yes,no,3051,20.11
no,no,no,no,no,3038,20.02
no,no,no,no,yes,1947,12.83
yes,yes,no,yes,no,1547,10.19
yes,no,no,no,no,1322,8.71
yes,yes,yes,no,no,1281,8.44
yes,yes,yes,yes,yes,1001,6.60
yes,yes,no,yes,yes,726,4.78
yes,no,no,no,yes,699,4.61
yes,yes,yes,no,yes,339,2.23
yes,yes,no,no,no,146,0.96
yes,yes,no,no,yes,54,0.36
no,yes,no,yes,no,11,0.07
no,yes,no,yes,yes,6,0.04
no,yes,yes,no,no,3,0.02
no,no,no,yes,no,1,0.01
no,yes,no,no,no,1,0.01
no,yes,no,no,yes,1,0.01
no,yes,yes,no,yes,1,0.01
