dimension,segment,is_other,segments_pooled,users_s0,step,users_strict,users_raw,share_of_s0_numerator,share_of_s0_denominator,share_of_s0_pct_value,share_of_s0_pct_display,share_of_s0_lo_display,share_of_s0_hi_display,share_of_s0_status,step_conversion_numerator,step_conversion_denominator,step_conversion_pct_value,step_conversion_pct_display,step_conversion_lo_display,step_conversion_hi_display,step_conversion_status,caveat,attribution_means,note
app_info.version,2.62,false,,6531,S0,6531,6531,6531,6531,100.0000000000,100.00,99.94,100.00,reported,,,,NULL,NULL,NULL,not_applicable,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.62,false,,6531,S1,3798,3798,3798,6531,58.1534221406,58.15,56.95,59.34,reported,3798,6531,58.1534221406,58.15,56.95,59.34,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.62,false,,6531,S2,2834,2846,2834,6531,43.3930485377,43.39,42.20,44.60,reported,2834,3798,74.6182201159,74.62,73.21,75.98,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.62,false,,6531,S3,2012,2014,2012,6531,30.8069208391,30.81,29.70,31.94,reported,2012,2834,70.9950599859,71.00,69.30,72.64,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.30,false,,3515,S0,3515,3515,3515,3515,100.0000000000,100.00,99.89,100.00,reported,,,,NULL,NULL,NULL,not_applicable,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.30,false,,3515,S1,2609,2609,2609,3515,74.2247510669,74.22,72.75,75.64,reported,2609,3515,74.2247510669,74.22,72.75,75.64,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.30,false,,3515,S2,2286,2292,2286,3515,65.0355618777,65.04,63.44,66.59,reported,2286,2609,87.6197776926,87.62,86.30,88.83,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.30,false,,3515,S3,1481,1481,1481,3515,42.1337126600,42.13,40.51,43.77,reported,1481,2286,64.7856517935,64.79,62.80,66.72,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.31,false,,2680,S0,2680,2680,2680,2680,100.0000000000,100.00,99.86,100.00,reported,,,,NULL,NULL,NULL,not_applicable,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.31,false,,2680,S1,2248,2248,2248,2680,83.8805970149,83.88,82.44,85.22,reported,2248,2680,83.8805970149,83.88,82.44,85.22,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.31,false,,2680,S2,1784,1787,1784,2680,66.5671641791,66.57,64.76,68.33,reported,1784,2248,79.3594306050,79.36,77.64,80.98,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
