figure_id,kind,value_display,value_num,unit,definition,source_tables,source_cells
app_version_constancy_ratio,derived,4.5×,4.453462986,ratio,How much larger Part 2's app_info.version non-constant share is than Part 1's,part1_08_data_handling.csv;part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:share_non_constant_pct_display:dimension=app_info.version;part1_08_data_handling.csv:value:section=app_info_version_constancy&metric=share_non_constant_part1_pct
constancy_app_info_version,quoted,8.76%,8.76,pct,Share of users whose app_info.version is not constant across their own events,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:share_non_constant_pct_display:dimension=app_info.version
constancy_app_info_version_users,quoted,"1,330",1330,count,Users with more than one distinct app_info.version,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:users_non_constant:dimension=app_info.version
constancy_device_category_users,quoted,0,0,count,Users with more than one distinct device.category,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:users_non_constant:dimension=device.category
constancy_device_language,quoted,0.22%,0.22,pct,Share of users whose device.language is not constant across their own events,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:share_non_constant_pct_display:dimension=device.language
constancy_device_language_users,quoted,33,33,count,Users with more than one distinct device.language,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:users_non_constant:dimension=device.language
constancy_geo_country,quoted,2.52%,2.52,pct,Share of users whose geo.country is not constant across their own events,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:share_non_constant_pct_display:dimension=geo.country
constancy_geo_country_users,quoted,383,383,count,Users with more than one distinct geo.country,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:users_non_constant:dimension=geo.country
constancy_platform,quoted,0.00%,0,pct,Share of users whose platform is not constant across their own events,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:share_non_constant_pct_display:dimension=platform
constancy_platform_users,quoted,0,0,count,Users with more than one distinct platform,part2_08_segment_constancy.csv,part2_08_segment_constancy.csv:users_non_constant:dimension=platform
diag_in_app_purchase_users,quoted,27,27,count,Users with at least one in_app_purchase event,part2_06_diagnostic_events.csv,part2_06_diagnostic_events.csv:users:event_name=in_app_purchase
diag_session_start_events,quoted,"74,353",74353,count,De-duplicated session_start events,part2_06_diagnostic_events.csv,part2_06_diagnostic_events.csv:events_deduped:event_name=session_start
diag_session_start_users,quoted,"12,261",12261,count,Users with at least one session_start event,part2_06_diagnostic_events.csv,part2_06_diagnostic_events.csv:users:event_name=session_start
drop_s0_s1_pp,derived,33.01 pp,33.0082372323,pp,Share of S0's strict population lost before S1,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S0;part2_03_funnel.csv:users_strict:step=S1
drop_s0_s1_users,derived,"5,009",5009,count,Users lost between S0 and S1 on the strict population,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S0;part2_03_funnel.csv:users_strict:step=S1
drop_s0_s3_users,derived,"9,503",9503,count,"Users present in the window who never completed a level, on the strict population",part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S0;part2_03_funnel.csv:users_strict:step=S3
drop_s1_s2_pp,derived,19.88 pp,19.8799921306,pp,Share of S1's strict population lost before S2,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S1;part2_03_funnel.csv:users_strict:step=S2
drop_s1_s2_users,derived,"2,021",2021,count,Users lost between S1 and S2 on the strict population,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S1;part2_03_funnel.csv:users_strict:step=S2
drop_s2_s3_pp,derived,30.36 pp,30.3621853898,pp,Share of S2's strict population lost before S3,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S2;part2_03_funnel.csv:users_strict:step=S3
drop_s2_s3_users,derived,"2,473",2473,count,Users lost between S2 and S3 on the strict population,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S2;part2_03_funnel.csv:users_strict:step=S3
dup_event_names,quoted,17,17,count,Distinct event names carrying at least one duplicate row,part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=duplicates&metric=event names carrying at least one duplicate
dup_ppm,derived,36,36.3157894737,count,Duplicate rows as parts per million of raw rows,part2_01_population_reconciliation.csv,part2_01_population_reconciliation.csv:users:metric=duplicate rows removed;part2_01_population_reconciliation.csv:users:metric=raw event rows before §10.7.4 de-duplication
dup_rows,quoted,207,207,count,Rows removed by §10.7.4's de-duplication,part2_01_population_reconciliation.csv,part2_01_population_reconciliation.csv:users:metric=duplicate rows removed
event_names_total,quoted,37,37,count,Distinct event_name values in the window,part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=duplicates&metric=distinct event names in the window
le_events_end,quoted,"349,715",349715,count,De-duplicated level_end_quickplay events,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=event&metric=level_end_quickplay events
le_events_outcomes,quoted,"328,110",328110,count,De-duplicated level_complete_quickplay plus level_fail_quickplay events,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=event&metric=complete + fail
le_events_shortfall,quoted,"21,605",21605,count,"Ends carrying no outcome, at event level",part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=event&metric=shortfall: ends carrying no outcome
le_events_shortfall_pct,quoted,6.18%,6.18,pct,Event-level shortfall as a share of level_end_quickplay events,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:pct_display:level=event&metric=shortfall: ends carrying no outcome
