quantity,value,value_display,unit,note
delta_7_pp,-0.820129831521,-0.82,pp,"Variant minus control, ITT over all assigned players (§4.1, A-007)."
z_statistic,-3.16435891275,-3.1644,statistic,"Pooled-variance, two-sided, no continuity correction (§4.1)."
p_value,0.00155424997561,0.00155,p,The confirmatory instrument; alpha was pre-registered against it.
alpha,0.05,0.050000,proportion,"§1.3, all of it on this one test."
significant,true,True,text,
se_pooled_pp,0.259177246998,0.2592,statistic,"Null variance: used for the TEST only (§4.1, A-015)."
se_unpooled_pp,0.259201400829,0.2592,statistic,"Used for the INTERVAL only. The asymmetry is deliberate, not a bug."
analytic_ci_low_pp,-1.32815524189,-1.33,pp,Unpooled Wald.
analytic_ci_high_pp,-0.312104421153,-0.31,pp,Unpooled Wald.
bootstrap_ci_low_pp,-1.33580845048,-1.34,pp,CI7: the estimation instrument; decides the action-threshold condition.
bootstrap_ci_high_pp,-0.30852289535,-0.31,pp,
bootstrap_mc_se_pp,0.26101168853,0.2610,statistic,Monte Carlo standard error as §4.2 defines it: the bootstrap SE of the estimate.
bootstrap_endpoint_mc_se_low_pp,0.00722386231116,0.0072,statistic,Supplementary: MC error of the lower percentile endpoint.
bootstrap_endpoint_mc_se_high_pp,0.007767860197,0.0078,statistic,Supplementary: MC error of the upper percentile endpoint.
n_resamples,10000,"10,000",count,"§4.2, A-017."
random_seed,20260910,20260910,text,"§7.5, A-018."
conflict,false,False,text,z-test vs bootstrap (§4.3). Routes to precondition R6 if true.
conflict_case,none,none,text,
