arm,bin_low,bin_high,count
gate_30,0,1,1937
gate_30,1,2,2749
gate_30,2,5,5928
gate_30,5,10,6221
gate_30,10,20,7129
gate_30,20,30,4080
gate_30,30,50,5327
gate_30,50,75,3276
gate_30,75,100,1885
gate_30,100,150,2244
gate_30,150,200,1295
gate_30,200,300,1273
gate_30,300,500,928
gate_30,500,1000,375
gate_30,1000,-1,53
gate_40,0,1,2057
gate_40,1,2,2789
gate_40,2,5,6265
gate_40,5,10,6291
gate_40,10,20,7403
gate_40,20,30,4071
gate_40,30,50,4777
gate_40,50,75,3455
gate_40,75,100,2033
gate_40,100,150,2388
gate_40,150,200,1317
gate_40,200,300,1307
gate_40,300,500,904
gate_40,500,1000,367
gate_40,1000,-1,65
