scope,shard_suffix,event_name,events,distinct_users
all_shards_all_events,,,5700000,15175
all_shards_per_event,,screen_view,2247623,14077
all_shards_per_event,,user_engagement,1358958,13588
all_shards_per_event,,level_start_quickplay,523430,10166
all_shards_per_event,,level_end_quickplay,349729,8168
all_shards_per_event,,post_score,242051,8580
all_shards_per_event,,level_complete_quickplay,191088,5676
all_shards_per_event,,level_fail_quickplay,137035,6343
all_shards_per_event,,level_reset_quickplay,122278,3517
all_shards_per_event,,select_content,105139,11111
all_shards_per_event,,level_start,74417,4774
all_shards_per_event,,session_start,74353,12261
all_shards_per_event,,level_end,54582,4378
all_shards_per_event,,level_retry,43345,3528
all_shards_per_event,,level_up,35666,3898
all_shards_per_event,,level_complete,33986,3658
all_shards_per_event,,level_retry_quickplay,29939,2940
all_shards_per_event,,level_fail,17353,2379
all_shards_per_event,,spend_virtual_currency,9363,2044
all_shards_per_event,,use_extra_steps,8945,1884
all_shards_per_event,,level_reset,8535,1806
all_shards_per_event,,firebase_campaign,5411,2735
all_shards_per_event,,app_exception,5156,789
all_shards_per_event,,first_open,4322,4319
all_shards_per_event,,os_update,3290,3003
all_shards_per_event,,no_more_extra_steps,2792,1193
all_shards_per_event,,app_remove,2639,2635
all_shards_per_event,,app_update,2473,2312
all_shards_per_event,,ad_reward,1912,354
all_shards_per_event,,completed_5_levels,1867,1597
all_shards_per_event,,error,1714,595
all_shards_per_event,,challenge_a_friend,524,246
all_shards_per_event,,in_app_purchase,27,27
all_shards_per_event,,dynamic_link_app_open,19,11
all_shards_per_event,,app_clear_data,17,15
all_shards_per_event,,dynamic_link_first_open,16,16
all_shards_per_event,,challenge_accepted,5,4
all_shards_per_event,,notification_foreground,1,1
per_shard_per_event,20180902,screen_view,23168,467
per_shard_per_event,20180925,screen_view,23054,475
per_shard_per_event,20180616,screen_view,22776,410
per_shard_per_event,20180906,screen_view,22733,497
per_shard_per_event,20180923,screen_view,22642,551
per_shard_per_event,20180918,screen_view,22611,474
per_shard_per_event,20180904,screen_view,22512,454
per_shard_per_event,20180927,screen_view,22475,627
per_shard_per_event,20180921,screen_view,22393,512
per_shard_per_event,20180919,screen_view,22235,502
per_shard_per_event,20180907,screen_view,22179,514
per_shard_per_event,20180916,screen_view,22078,441
per_shard_per_event,20180913,screen_view,21974,484
per_shard_per_event,20180908,screen_view,21962,507
per_shard_per_event,20180922,screen_view,21926,506
per_shard_per_event,20180911,screen_view,21786,458
per_shard_per_event,20180915,screen_view,21760,418
per_shard_per_event,20180615,screen_view,21681,464
per_shard_per_event,20180625,user_engagement,21620,845
per_shard_per_event,20180614,screen_view,21609,482
per_shard_per_event,20180905,screen_view,21555,507
per_shard_per_event,20180617,screen_view,21546,429
per_shard_per_event,20180701,user_engagement,21363,815
per_shard_per_event,20180626,user_engagement,21341,795
per_shard_per_event,20180917,screen_view,21334,466
per_shard_per_event,20180613,screen_view,21329,499
per_shard_per_event,20180924,screen_view,21285,447
per_shard_per_event,20180926,screen_view,21285,514
per_shard_per_event,20180612,screen_view,21281,427
per_shard_per_event,20180818,screen_view,21265,479
per_shard_per_event,20180910,screen_view,21263,526
per_shard_per_event,20180920,screen_view,21212,430
per_shard_per_event,20180831,screen_view,21169,441
per_shard_per_event,20180627,screen_view,21143,384
per_shard_per_event,20180830,screen_view,21143,467
per_shard_per_event,20180829,screen_view,21070,478
per_shard_per_event,20180630,user_engagement,21047,835
per_shard_per_event,20180725,screen_view,21043,390
per_shard_per_event,20180819,screen_view,21027,435
per_shard_per_event,20180816,screen_view,21023,432
per_shard_per_event,20181002,screen_view,21000,468
per_shard_per_event,20180929,screen_view,20929,524
per_shard_per_event,20180718,screen_view,20926,363
per_shard_per_event,20180930,screen_view,20885,497
per_shard_per_event,20180703,screen_view,20879,412
per_shard_per_event,20180629,screen_view,20861,478
per_shard_per_event,20180624,screen_view,20852,377
per_shard_per_event,20180824,screen_view,20845,456
per_shard_per_event,20180713,screen_view,20844,444
per_shard_per_event,20180822,screen_view,20799,433
per_shard_per_event,20180826,screen_view,20791,432
per_shard_per_event,20180628,user_engagement,20649,808
per_shard_per_event,20180912,screen_view,20645,537
per_shard_per_event,20180715,screen_view,20618,391
per_shard_per_event,20180620,screen_view,20608,361
per_shard_per_event,20180712,screen_view,20558,431
per_shard_per_event,20180827,screen_view,20548,465
per_shard_per_event,20180724,screen_view,20544,414
per_shard_per_event,20180825,screen_view,20541,472
per_shard_per_event,20180810,screen_view,20528,354
per_shard_per_event,20180622,screen_view,20519,408
per_shard_per_event,20180801,screen_view,20493,427
per_shard_per_event,20180909,screen_view,20487,536
per_shard_per_event,20180726,screen_view,20466,400
per_shard_per_event,20180727,screen_view,20460,441
per_shard_per_event,20180728,screen_view,20450,447
per_shard_per_event,20180901,screen_view,20445,436
per_shard_per_event,20180813,screen_view,20440,479
per_shard_per_event,20180828,screen_view,20437,440
per_shard_per_event,20180706,screen_view,20418,394
per_shard_per_event,20180823,screen_view,20414,406
per_shard_per_event,20180717,screen_view,20412,352
per_shard_per_event,20180817,screen_view,20411,434
per_shard_per_event,20180803,screen_view,20405,529
per_shard_per_event,20180731,screen_view,20388,420
per_shard_per_event,20180702,screen_view,20378,428
per_shard_per_event,20180710,screen_view,20373,427
per_shard_per_event,20180704,screen_view,20342,402
per_shard_per_event,20180723,screen_view,20326,418
per_shard_per_event,20180708,screen_view,20301,362
per_shard_per_event,20180804,screen_view,20294,515
per_shard_per_event,20180807,screen_view,20292,464
per_shard_per_event,20180623,screen_view,20261,432
per_shard_per_event,20180621,screen_view,20248,381
per_shard_per_event,20180914,screen_view,20234,462
per_shard_per_event,20180812,screen_view,20232,439
per_shard_per_event,20180821,screen_view,20200,449
per_shard_per_event,20180808,screen_view,20186,475
per_shard_per_event,20180705,screen_view,20172,400
per_shard_per_event,20180806,screen_view,20170,474
per_shard_per_event,20180811,screen_view,20166,427
per_shard_per_event,20180707,screen_view,20148,426
per_shard_per_event,20180809,screen_view,20143,438
per_shard_per_event,20180719,screen_view,20120,330
per_shard_per_event,20180802,screen_view,20041,488
per_shard_per_event,20180820,screen_view,20014,438
per_shard_per_event,20180709,screen_view,19976,403
per_shard_per_event,20181003,screen_view,19956,469
per_shard_per_event,20180903,screen_view,19944,445
per_shard_per_event,20180815,screen_view,19939,394
per_shard_per_event,20180729,screen_view,19880,459
per_shard_per_event,20180805,screen_view,19873,497
per_shard_per_event,20180730,screen_view,19833,460
per_shard_per_event,20180721,screen_view,19831,471
per_shard_per_event,20180814,screen_view,19794,421
per_shard_per_event,20180711,screen_view,19778,404
per_shard_per_event,20181001,screen_view,19755,461
per_shard_per_event,20180928,screen_view,19704,514
per_shard_per_event,20180722,screen_view,19656,392
per_shard_per_event,20180720,screen_view,19564,408
per_shard_per_event,20180714,screen_view,19495,389
per_shard_per_event,20180716,screen_view,19386,384
per_shard_per_event,20180618,user_engagement,17544,566
per_shard_per_event,20180619,user_engagement,15293,583
per_shard_per_event,20180712,user_engagement,11879,432
per_shard_per_event,20180627,user_engagement,11860,389
per_shard_per_event,20180709,user_engagement,11827,406
per_shard_per_event,20180728,user_engagement,11821,457
per_shard_per_event,20180718,user_engagement,11812,370
