param_key,occurrences,distinct_event_names,distinct_users,with_string_value,with_int_value,with_float_value,with_double_value
firebase_event_origin,5700000,37,15175,5700000,0,0,0
firebase_screen_class,5569876,34,14293,5569876,0,0,0
firebase_screen_id,5569876,34,14293,0,5186729,0,383147
firebase_previous_id,2162863,1,12044,0,2162863,0,0
firebase_previous_class,2162863,1,12044,2162863,0,0,0
engagement_time_msec,1358951,1,13588,0,1358951,0,0
board,1354028,8,10193,1354028,0,0,0
level,510530,9,9293,0,48216,0,462314
level_name,462309,9,8096,462309,0,0,0
value,284374,9,8669,0,208139,0,76235
score,242051,1,8580,0,23944,0,218107
time,144753,1,4373,0,2207,0,142546
firebase_conversion,114080,5,12680,0,114080,0,0
firebase_screen,105737,6,3484,105737,0,0,0
content_type,105139,1,11111,105139,0,0,0
item_id,105139,1,11111,105139,0,0,0
firebase_previous_screen,49263,1,3244,49263,0,0,0
virtual_currency_name,18308,2,2162,18308,0,0,0
item_name,18308,2,2162,18308,0,0,0
timestamp,5156,1,789,0,5156,0,0
fatal,5156,1,789,0,5156,0,0
update_with_analytics,4317,1,4314,0,4317,0,0
previous_first_open_count,4317,1,4314,0,4317,0,0
source,3424,3,1701,3424,0,0,0
medium,3424,3,1701,3424,0,0,0
previous_os_version,3290,1,3003,3290,0,0,0
system_app,2915,1,2913,0,2915,0,0
system_app_update,2915,1,2913,0,2915,0,0
click_timestamp,2663,1,2660,0,2663,0,0
previous_app_version,2473,1,2312,2473,0,0,0
gclid,2022,1,1036,2022,0,0,0
ad_unit_code,1912,1,354,1912,0,0,0
type,1912,1,354,1912,0,0,0
error_value,1714,1,595,1714,0,0,0
firebase_error,1714,1,595,0,1714,0,0
ad_event_id,1316,1,214,0,1316,0,0
campaign,68,3,25,68,0,0,0
term,35,1,18,35,0,0,0
dynamic_link_accept_time,35,2,23,0,35,0,0
dynamic_link_link_id,35,2,23,35,0,0,0
dynamic_link_link_name,31,2,19,31,0,0,0
product_name,27,1,27,27,0,0,0
price,27,1,27,0,27,0,0
quantity,27,1,27,0,27,0,0
currency,27,1,27,27,0,0,0
product_id,27,1,27,27,0,0,0
validated,16,1,16,0,16,0,0
content,2,1,1,2,0,0,0
message_name,1,1,1,1,0,0,0
message_time,1,1,1,0,1,0,0
message_id,1,1,1,1,0,0,0
message_device_time,1,1,1,1,0,0,0
