field,row_kind,value,events,users,event_share_ppm,value_rank,distinct_non_null_values,null_events,null_share_ppm
app_info.version,summary,,5700000,,,,34,0,0
app_info.version,value,2.62,2753998,6591,483158,1,,,
app_info.version,value,2.6.31,1461036,3911,256322,2,,,
app_info.version,value,2.6.30,688468,3568,120784,3,,,
app_info.version,value,2.6.27,361635,802,63445,4,,,
app_info.version,value,2.59,185834,412,32602,5,,,
app_info.version,value,2.6.26,62156,178,10905,6,,,
app_info.version,value,2.57,40320,148,7074,7,,,
app_info.version,value,2.6.10,32046,180,5622,8,,,
app_info.version,value,2.52,25135,80,4410,9,,,
app_info.version,value,2.6.22,16293,90,2858,10,,,
app_info.version,value,2.6.21,14004,63,2457,11,,,
app_info.version,value,2.58,13868,27,2433,12,,,
app_info.version,value,2.6.29,10202,62,1790,13,,,
app_info.version,value,2.2.5,4859,56,852,14,,,
app_info.version,value,2.53,4401,45,772,15,,,
app_info.version,value,2.5.5,3581,12,628,16,,,
app_info.version,value,2.6.25,3551,24,623,17,,,
app_info.version,value,2.6.24,2919,13,512,18,,,
app_info.version,value,2.60,2434,34,427,19,,,
app_info.version,value,2.6.8,2310,11,405,20,,,
app_info.version,value,2.50,2215,22,389,21,,,
app_info.version,value,2.41,2133,24,374,22,,,
app_info.version,value,2.4.1,2093,40,367,23,,,
app_info.version,value,2.3.7,1468,11,258,24,,,
app_info.version,value,2.6.9,753,3,132,25,,,
app_info.version,value,2.0,646,20,113,26,,,
app_info.version,value,2.6.7,473,13,83,27,,,
app_info.version,value,2.63,455,55,80,28,,,
app_info.version,value,2.6.20,295,7,52,29,,,
app_info.version,value,2.4,271,8,48,30,,,
app_info.version,value,2.6.6,76,5,13,31,,,
app_info.version,value,2.51,43,2,8,32,,,
app_info.version,value,2.48,24,1,4,33,,,
app_info.version,value,2.46,5,1,1,34,,,
device.category,summary,,5700000,,,,2,0,0
device.category,value,mobile,4167158,11774,731080,1,,,
device.category,value,tablet,1532842,3401,268920,2,,,
device.language,summary,,5700000,,,,229,0,0
device.language,value,en-us,3725394,8938,653578,1,,,
device.language,value,ja-jp,472886,743,82962,2,,,
device.language,value,en-gb,386779,1355,67856,3,,,
device.language,value,de-de,161094,283,28262,4,,,
device.language,value,en-au,149821,538,26284,5,,,
