event_name,events,users_with_event,events_per_user_p50,events_per_user_p90,events_per_user_max,users_with_more_than_one_event,users_repeating_share_ppm,user_shard_pairs,events_per_user_shard_p50,events_per_user_shard_p90,events_per_user_shard_max,user_shard_pairs_with_more_than_one,user_shard_pairs_repeating_share_ppm
screen_view,2247623,14077,21,217,56698,12650,898629,55969,13,89,2720,49745,888796
user_engagement,1358958,13588,17,142,23708,12733,937077,53743,9,57,1133,49883,928177
level_start_quickplay,523430,10166,5,54,24641,8324,818808,43546,3,25,1902,33267,763951
level_end_quickplay,349729,8168,4,54,8337,6362,778893,37778,3,21,532,26473,700752
post_score,242051,8580,5,36,6345,6790,791375,36282,2,15,490,23589,650157
level_complete_quickplay,191088,5676,3,48,5990,4065,716173,29186,2,15,490,17935,614507
level_fail_quickplay,137035,6343,3,26,6435,4425,697619,22085,2,13,274,13773,623636
level_reset_quickplay,122278,3517,3,23,22599,2333,663349,8429,2,26,1752,5446,646103
select_content,105139,11111,3,17,2925,8145,733057,42518,1,4,422,18861,443600
level_start,74417,4774,7,39,966,4386,918726,8670,5,19,197,7597,876240
session_start,74353,12261,2,11,445,6346,517576,49585,1,3,11,13950,281335
level_end,54582,4378,6,31,879,3716,848789,7703,4,17,188,6040,784110
level_retry,43345,3528,5,31,846,2907,823980,6264,4,17,187,4854,774904
level_up,35666,3898,5,25,661,3246,832735,6181,4,14,172,4800,776573
level_complete,33986,3658,5,26,661,3043,831875,5862,4,14,172,4544,775162
level_retry_quickplay,29939,2940,2,14,1583,1603,545238,9587,1,6,245,4018,419109
level_fail,17353,2379,3,18,362,1605,674653,4150,2,10,89,2480,597590
spend_virtual_currency,9363,2044,2,7,700,1245,609100,3042,2,6,96,1662,546351
use_extra_steps,8945,1884,2,7,700,1150,610403,2893,2,6,96,1592,550294
level_reset,8535,1806,2,10,109,1216,673311,2465,2,8,81,1484,602028
firebase_campaign,5411,2735,2,2,19,2632,962340,2736,2,2,19,2632,961988
app_exception,5156,789,2,11,1307,396,501901,1908,1,4,144,570,298742
first_open,4322,4319,1,1,2,3,695,4320,1,1,2,2,463
os_update,3290,3003,1,1,3,271,90243,3286,1,1,2,4,1217
no_more_extra_steps,2792,1193,1,3,187,219,183571,1674,1,3,53,394,235364
app_remove,2639,2635,1,1,2,4,1518,2635,1,1,2,4,1518
app_update,2473,2312,1,1,2,161,69637,2472,1,1,2,1,405
ad_reward,1912,354,2,9,184,179,505650,823,1,4,53,364,442284
completed_5_levels,1867,1597,1,1,34,141,88291,1767,1,1,9,65,36786
error,1714,595,1,5,136,207,347899,1079,1,3,26,287,265987
challenge_a_friend,524,246,2,4,13,125,508130,319,1,3,9,119,373041
in_app_purchase,27,27,1,1,1,0,0,27,1,1,1,0,0
dynamic_link_app_open,19,11,1,2,8,2,181818,11,1,2,8,2,181818
app_clear_data,17,15,1,2,2,2,133333,17,1,1,1,0,0
dynamic_link_first_open,16,16,1,1,1,0,0,16,1,1,1,0,0
challenge_accepted,5,4,1,2,2,1,250000,5,1,1,1,0,0
notification_foreground,1,1,1,1,1,0,0,1,1,1,1,0,0
