user_property_key,occurrences,distinct_users,with_string_value,with_int_value,with_float_value,with_double_value,with_set_timestamp
first_open_time,5699844,15175,0,5699844,0,0,5699844
ad_frequency,5160472,13226,5160472,0,0,0,5160472
initial_extra_steps,4895051,12731,4895051,0,0,0,4895051
num_levels_available,3035169,7457,3035169,0,0,0,3035169
firebase_exp_3,2596238,6894,2596238,0,0,0,2596238
plays_quickplay,2444654,3548,2444654,0,0,0,2444654
plays_progressive,1496168,4585,1496168,0,0,0,1496168
firebase_exp_1,1328492,4924,1328492,0,0,0,1328492
firebase_exp_4,896106,2087,896106,0,0,0,896106
firebase_last_notification,352684,347,352684,0,0,0,352684
_ltv_USD,65192,109,0,65192,0,0,65192
_ltv_JPY,18816,10,0,18816,0,0,18816
firebase_exp_5,16555,847,16555,0,0,0,16555
_ltv_AUD,12349,8,0,12349,0,0,12349
_ltv_DKK,3297,1,0,3297,0,0,3297
_ltv_GBP,2745,7,0,2745,0,0,2745
_ltv_CHF,1246,1,0,1246,0,0,1246
_ltv_TWD,742,2,0,742,0,0,742
_ltv_AED,523,1,0,523,0,0,523
_ltv_PKR,443,1,0,443,0,0,443
_ltv_EUR,413,3,0,413,0,0,413
_ltv_MXN,9,1,0,9,0,0,9
firebase_exp_7,2,1,2,0,0,0,2
_ltv_SEK,2,1,0,2,0,0,2
_ltv_RON,1,1,0,1,0,0,1
