seq,query_file,job_id,job_date_utc,shard_range,dry_run_estimate_bytes,bytes_processed,bytes_billed,divergence_bytes,divergence_ratio,running_total_billed_bytes,remaining_total_bytes,note
1,"(console, not committed)",job_XNLo9MYaLVa-Kp4UVplZTAfDNZ6e,2026-09-11T10:10:15Z,"unrecorded",not_taken,0,0,not_taken,not_taken,0,214748364800,"prior manual console query, run before this session and outside §10.1's protocol: no dry run was taken, so no estimate and no divergence exist"
2,"(console, not committed)",job_rHhSMjuyf4FzUpbLz0_IzQu2oG3x,2026-09-11T10:14:37Z,"unrecorded",not_taken,812405,10485760,not_taken,not_taken,10485760,214737879040,"prior manual console query, run before this session and outside §10.1's protocol: no dry run was taken, so no estimate and no divergence exist"
3,"sql/00_recon_shard_inventory.sql",recon_recon_00_shard_inventory_20260912T030310Z,2026-09-12T03:03:12Z,"dataset metadata only; no shard scanned",0,0,0,0,undefined,10485760,214737879040,""
4,"sql/01_recon_column_inventory.sql",recon_recon_01_column_inventory_20260912T030328Z,2026-09-12T03:03:30Z,"all 114 shards; INFORMATION_SCHEMA metadata only",10485760,10485760,10485760,0,1.0000,20971520,214727393280,""
5,"sql/02_recon_shard_scan_cost.sql",recon_recon_02_shard_scan_cost_20260912T030403Z,2026-09-12T03:04:06Z,"single shard 20181003; all columns",38133989,38133989,38797312,663323,1.0174,59768832,214688595968,""
6,"sql/03_recon_event_vocabulary.sql",recon_recon_03_event_vocabulary_20260912T030443Z,2026-09-12T03:04:49Z,"20180612-20181003 (114 shards)",286889198,286889198,287309824,420626,1.0015,347078656,214401286144,""
7,"sql/04_recon_event_parameters.sql",recon_recon_04_event_parameters_20260912T030550Z,2026-09-12T03:05:57Z,"20180612-20181003 (114 shards)",1085201168,1085201168,1085276160,74992,1.0001,1432354816,213316009984,""
8,"sql/05_recon_revenue_population.sql",recon_recon_05_revenue_population_20260912T030633Z,2026-09-12T03:06:40Z,"20180612-20181003 (114 shards)",895392002,895392002,895483904,91902,1.0001,2327838720,212420526080,""
9,"sql/06_recon_identity_time_duplicates.sql",recon_recon_06_identity_time_duplicates_20260912T030737Z,2026-09-12T03:07:44Z,"20180612-20181003 (114 shards)",480689198,480689198,481296384,607186,1.0013,2809135104,211939229696,""
10,"sql/06_recon_identity_time_duplicates.sql",recon_recon_06_identity_time_duplicates_20260912T030816Z,2026-09-12T03:08:22Z,"20180612-20181003 (114 shards)",480689198,480689198,481296384,607186,1.0013,3290431488,211457933312,""
11,"sql/07_recon_field_profiles.sql",recon_recon_07_field_profiles_20260912T030848Z,2026-09-12T03:08:54Z,"20180612-20181003 (114 shards)",629138314,629138314,629145600,7286,1.0000,3919577088,210828787712,""
12,"sql/08_recon_event_repetition.sql",recon_recon_08_event_repetition_20260912T030937Z,2026-09-12T03:09:44Z,"20180612-20181003 (114 shards)",286889198,286889198,287309824,420626,1.0015,4206886912,210541477888,""
13,"sql/09_recon_user_properties.sql",recon_recon_09_user_properties_20260912T031148Z,2026-09-12T03:11:55Z,"20180612-20181003 (114 shards)",1052188845,1052188845,1052770304,581459,1.0006,5259657216,209488707584,""
